function,Accuracy,RMSE,F1,F1 neg,tnr,fpr,fnr,tpr,tn,fp,fn,tp,train,test,self/cross
AR predictions,0.2841,0.8461,0.4425,0.0,0.0,1.0,0.0,1.0,0,3299,0,1309,H2,H6,cross
AR predictions,0.8464,0.3919,0.9168,0.0,0.0,1.0,0.0,1.0,0,524,0,2887,H3,H1,cross
AR predictions,0.6493,0.5922,0.7644,0.3143,0.236,0.764,0.138,0.862,162,523,184,1147,H3,H2,cross
AR predictions,0.5064,0.7025,0.666,0.05508,0.103,0.897,0.428,0.572,29,253,742,992,H3,H4,cross
AR predictions,0.8906,0.3307,0.9421,0.02073,0.0105,0.99,0.0,1.0,2,189,0,1537,H3,H5,cross
AR predictions,0.2841,0.8461,0.4425,0.0,0.0,1.0,0.0,1.0,0,3299,0,1309,H3,H6,cross
AR predictions,0.8464,0.3919,0.9168,0.0,0.0,1.0,0.0,1.0,0,524,0,2887,H4,H1,cross
AR predictions,0.6553,0.5871,0.7891,0.05699,0.0307,0.969,0.0233,0.977,21,664,31,1300,H4,H2,cross
AR predictions,0.8254,0.4179,0.9029,0.133,0.0714,0.929,0.000611,0.999,54,702,2,3274,H4,H3,cross
AR predictions,0.8895,0.3325,0.9415,0.0,0.0,1.0,0.0,1.0,0,191,0,1537,H4,H5,cross
AR predictions,0.2841,0.8461,0.4425,0.0,0.0,1.0,0.0,1.0,0,3299,0,1309,H4,H6,cross
AR predictions,0.8464,0.3919,0.9168,0.0,0.0,1.0,0.0,1.0,0,524,0,2887,H5,H1,cross
AR predictions,0.6766,0.5687,0.8031,0.09444,0.0496,0.95,0.000751,0.999,34,651,1,1330,H5,H2,cross
AR predictions,0.8125,0.433,0.8966,0.0,0.0,1.0,0.0,1.0,0,756,0,3276,H5,H3,cross
AR predictions,0.8601,0.374,0.9248,0.0,0.0,1.0,0.0,1.0,0,282,0,1734,H5,H4,cross
AR predictions,0.2841,0.8461,0.4425,0.0,0.0,1.0,0.0,1.0,0,3299,0,1309,H5,H6,cross
AR predictions,0.8458,0.3927,0.9165,0.0,0.0,1.0,0.000693,0.999,0,524,2,2885,H6,H1,cross
AR predictions,0.7421,0.5079,0.7995,0.6384,0.67,0.33,0.221,0.779,459,226,294,1037,H6,H2,cross
AR predictions,0.8259,0.4173,0.9021,0.2148,0.127,0.873,0.0128,0.987,96,660,42,3234,H6,H3,cross
AR predictions,0.3914,0.7801,0.542,0.09313,0.223,0.777,0.581,0.419,63,219,1008,726,H6,H4,cross
AR predictions,0.8802,0.3461,0.9353,0.1882,0.126,0.874,0.026,0.974,24,167,40,1497,H6,H5,cross
Nonparametric,0.7989,0.4485,0.8837,0.2576,0.227,0.773,0.0973,0.903,119,405,281,2606,H1,H1,self
Nonparametric,0.6528,0.5893,0.7278,0.5205,0.555,0.445,0.297,0.703,380,305,395,936,H2,H2,self
Nonparametric,0.813,0.4324,0.8896,0.39,0.319,0.681,0.073,0.927,241,515,239,3037,H3,H3,self
Nonparametric,0.8328,0.4089,0.9087,0.0059,0.00355,0.996,0.0323,0.968,1,281,56,1678,H4,H4,self
Nonparametric,0.8044,0.4423,0.8878,0.2387,0.277,0.723,0.13,0.87,53,138,200,1337,H5,H5,self
Nonparametric,0.4972,0.7091,0.4598,0.5297,0.396,0.604,0.247,0.753,1305,1994,323,986,H6,H6,self
Nonparametric,0.6572,0.5855,0.7769,0.261,0.178,0.822,0.0962,0.904,122,563,128,1203,H1,H2,cross
Nonparametric,0.7951,0.4526,0.8787,0.3424,0.284,0.716,0.087,0.913,215,541,285,2991,H1,H3,cross
Nonparametric,0.8036,0.4432,0.89,0.08333,0.0638,0.936,0.0761,0.924,18,264,132,1602,H1,H4,cross
Nonparametric,0.7483,0.5017,0.8557,0.01361,0.0157,0.984,0.161,0.839,3,188,247,1290,H1,H5,cross
Nonparametric,0.3553,0.803,0.4412,0.238,0.141,0.859,0.104,0.896,464,2835,136,1173,H1,H6,cross
Nonparametric,0.5981,0.634,0.7313,0.2024,0.332,0.668,0.354,0.646,174,350,1021,1866,H2,H1,cross
Nonparametric,0.5957,0.6358,0.7169,0.2931,0.447,0.553,0.37,0.63,338,418,1212,2064,H2,H3,cross
Nonparametric,0.7366,0.5132,0.8384,0.2892,0.383,0.617,0.206,0.794,108,174,357,1377,H2,H4,cross
Nonparametric,0.544,0.6753,0.6835,0.1843,0.466,0.534,0.446,0.554,89,102,686,851,H2,H5,cross
Nonparametric,0.4395,0.7487,0.3633,0.4993,0.39,0.61,0.437,0.563,1288,2011,572,737,H2,H6,cross
Nonparametric,0.796,0.4517,0.8823,0.2335,0.202,0.798,0.0963,0.904,106,418,278,2609,H3,H1,cross
Nonparametric,0.7009,0.5469,0.8059,0.3481,0.235,0.765,0.0594,0.941,161,524,79,1252,H3,H2,cross
Nonparametric,0.8244,0.419,0.9018,0.169,0.128,0.872,0.0623,0.938,36,246,108,1626,H3,H4,cross
Nonparametric,0.7679,0.4817,0.8674,0.06961,0.0785,0.921,0.146,0.854,15,176,225,1312,H3,H5,cross
Nonparametric,0.3544,0.8035,0.443,0.2323,0.136,0.864,0.0963,0.904,450,2849,126,1183,H3,H6,cross
Nonparametric,0.8311,0.4109,0.9063,0.1479,0.0954,0.905,0.0353,0.965,50,474,102,2785,H4,H1,cross
Nonparametric,0.6508,0.5909,0.7835,0.09744,0.0555,0.945,0.0428,0.957,38,647,57,1274,H4,H2,cross
Nonparametric,0.7956,0.4521,0.8842,0.129,0.0807,0.919,0.0394,0.961,61,695,129,3147,H4,H3,cross
Nonparametric,0.838,0.4025,0.9117,0.02098,0.0157,0.984,0.0599,0.94,3,188,92,1445,H4,H5,cross
Nonparametric,0.3149,0.8277,0.4451,0.1049,0.0561,0.944,0.0328,0.967,185,3114,43,1266,H4,H6,cross
Nonparametric,0.7103,0.5382,0.8263,0.1287,0.139,0.861,0.186,0.814,73,451,537,2350,H5,H1,cross
Nonparametric,0.5962,0.6354,0.7292,0.2066,0.155,0.845,0.177,0.823,106,579,235,1096,H5,H2,cross
Nonparametric,0.7044,0.5437,0.8201,0.1711,0.163,0.837,0.171,0.829,123,633,559,2717,H5,H3,cross
Nonparametric,0.688,0.5586,0.8093,0.1419,0.184,0.816,0.23,0.77,52,230,399,1335,H5,H4,cross
Nonparametric,0.3921,0.7797,0.4581,0.3079,0.189,0.811,0.0955,0.905,623,2676,125,1184,H5,H6,cross
Nonparametric,0.6775,0.5679,0.7849,0.356,0.58,0.42,0.305,0.695,304,220,880,2007,H6,H1,cross
Nonparametric,0.6677,0.5765,0.7466,0.5173,0.524,0.476,0.258,0.742,359,326,344,987,H6,H2,cross
Nonparametric,0.7282,0.5214,0.8143,0.4931,0.705,0.295,0.266,0.734,533,223,873,2403,H6,H3,cross
Nonparametric,0.6106,0.624,0.7485,0.1383,0.223,0.777,0.326,0.674,63,219,566,1168,H6,H4,cross
Nonparametric,0.61,0.6245,0.7443,0.178,0.382,0.618,0.362,0.638,73,118,556,981,H6,H5,cross
OR (ai),0.4298,0.7551,0.4986,0.3391,0.952,0.0477,0.665,0.335,499,25,1920,967,H1,H1,self
OR (ai),0.5382,0.6796,0.4634,0.5947,0.997,0.00292,0.698,0.302,683,2,929,402,H2,H2,self
OR (ai),0.4102,0.768,0.4413,0.3755,0.946,0.0542,0.713,0.287,715,41,2337,939,H3,H3,self
OR (ai),0.1523,0.9207,0.03173,0.2461,0.989,0.0106,0.984,0.0161,279,3,1706,28,H4,H4,self
OR (ai),0.441,0.7477,0.5422,0.2823,0.995,0.00524,0.628,0.372,190,1,965,572,H5,H5,self
OR (ai),0.722,0.5273,0.2791,0.8278,0.933,0.0667,0.811,0.189,3079,220,1061,248,H6,H6,self
OR (ai),0.5382,0.6796,0.4634,0.5947,0.997,0.00292,0.698,0.302,683,2,929,402,H1,H2,cross
OR (ai),0.4102,0.768,0.4413,0.3755,0.946,0.0542,0.713,0.287,715,41,2337,939,H1,H3,cross
OR (ai),0.1523,0.9207,0.03173,0.2461,0.989,0.0106,0.984,0.0161,279,3,1706,28,H1,H4,cross
OR (ai),0.441,0.7477,0.5422,0.2823,0.995,0.00524,0.628,0.372,190,1,965,572,H1,H5,cross
OR (ai),0.722,0.5273,0.2791,0.8278,0.933,0.0667,0.811,0.189,3079,220,1061,248,H1,H6,cross
OR (ai),0.4298,0.7551,0.4986,0.3391,0.952,0.0477,0.665,0.335,499,25,1920,967,H2,H1,cross
OR (ai),0.4102,0.768,0.4413,0.3755,0.946,0.0542,0.713,0.287,715,41,2337,939,H2,H3,cross
OR (ai),0.1523,0.9207,0.03173,0.2461,0.989,0.0106,0.984,0.0161,279,3,1706,28,H2,H4,cross
OR (ai),0.441,0.7477,0.5422,0.2823,0.995,0.00524,0.628,0.372,190,1,965,572,H2,H5,cross
OR (ai),0.722,0.5273,0.2791,0.8278,0.933,0.0667,0.811,0.189,3079,220,1061,248,H2,H6,cross
OR (ai),0.4298,0.7551,0.4986,0.3391,0.952,0.0477,0.665,0.335,499,25,1920,967,H3,H1,cross
OR (ai),0.5382,0.6796,0.4634,0.5947,0.997,0.00292,0.698,0.302,683,2,929,402,H3,H2,cross
OR (ai),0.1523,0.9207,0.03173,0.2461,0.989,0.0106,0.984,0.0161,279,3,1706,28,H3,H4,cross
OR (ai),0.441,0.7477,0.5422,0.2823,0.995,0.00524,0.628,0.372,190,1,965,572,H3,H5,cross
OR (ai),0.722,0.5273,0.2791,0.8278,0.933,0.0667,0.811,0.189,3079,220,1061,248,H3,H6,cross
OR (ai),0.4298,0.7551,0.4986,0.3391,0.952,0.0477,0.665,0.335,499,25,1920,967,H4,H1,cross
OR (ai),0.5382,0.6796,0.4634,0.5947,0.997,0.00292,0.698,0.302,683,2,929,402,H4,H2,cross
OR (ai),0.4102,0.768,0.4413,0.3755,0.946,0.0542,0.713,0.287,715,41,2337,939,H4,H3,cross
OR (ai),0.441,0.7477,0.5422,0.2823,0.995,0.00524,0.628,0.372,190,1,965,572,H4,H5,cross
OR (ai),0.722,0.5273,0.2791,0.8278,0.933,0.0667,0.811,0.189,3079,220,1061,248,H4,H6,cross
OR (ai),0.4298,0.7551,0.4986,0.3391,0.952,0.0477,0.665,0.335,499,25,1920,967,H5,H1,cross
OR (ai),0.5382,0.6796,0.4634,0.5947,0.997,0.00292,0.698,0.302,683,2,929,402,H5,H2,cross
OR (ai),0.4102,0.768,0.4413,0.3755,0.946,0.0542,0.713,0.287,715,41,2337,939,H5,H3,cross
OR (ai),0.1523,0.9207,0.03173,0.2461,0.989,0.0106,0.984,0.0161,279,3,1706,28,H5,H4,cross
OR (ai),0.722,0.5273,0.2791,0.8278,0.933,0.0667,0.811,0.189,3079,220,1061,248,H5,H6,cross
OR (ai),0.4298,0.7551,0.4986,0.3391,0.952,0.0477,0.665,0.335,499,25,1920,967,H6,H1,cross
OR (ai),0.5382,0.6796,0.4634,0.5947,0.997,0.00292,0.698,0.302,683,2,929,402,H6,H2,cross
OR (ai),0.4102,0.768,0.4413,0.3755,0.946,0.0542,0.713,0.287,715,41,2337,939,H6,H3,cross
OR (ai),0.1523,0.9207,0.03173,0.2461,0.989,0.0106,0.984,0.0161,279,3,1706,28,H6,H4,cross
OR (ai),0.441,0.7477,0.5422,0.2823,0.995,0.00524,0.628,0.372,190,1,965,572,H6,H5,cross
OR (aie),0.8464,0.3919,0.9168,0.0,0.0,1.0,0.0,1.0,0,524,0,2887,H1,H1,self
OR (aie),0.6602,0.5829,0.7953,0.0,0.0,1.0,0.0,1.0,0,685,0,1331,H2,H2,self
OR (aie),0.8125,0.433,0.8966,0.0,0.0,1.0,0.0,1.0,0,756,0,3276,H3,H3,self
OR (aie),0.1523,0.9207,0.03173,0.2461,0.989,0.0106,0.984,0.0161,279,3,1706,28,H4,H4,self
OR (aie),0.8895,0.3325,0.9415,0.0,0.0,1.0,0.0,1.0,0,191,0,1537,H5,H5,self
OR (aie),0.579,0.6489,0.5625,0.5943,0.431,0.569,0.0474,0.953,1421,1878,62,1247,H6,H6,self
OR (aie),0.6602,0.5829,0.7953,0.0,0.0,1.0,0.0,1.0,0,685,0,1331,H1,H2,cross
OR (aie),0.8125,0.433,0.8966,0.0,0.0,1.0,0.0,1.0,0,756,0,3276,H1,H3,cross
OR (aie),0.1523,0.9207,0.03173,0.2461,0.989,0.0106,0.984,0.0161,279,3,1706,28,H1,H4,cross
OR (aie),0.8895,0.3325,0.9415,0.0,0.0,1.0,0.0,1.0,0,191,0,1537,H1,H5,cross
OR (aie),0.579,0.6489,0.5625,0.5943,0.431,0.569,0.0474,0.953,1421,1878,62,1247,H1,H6,cross
OR (aie),0.8464,0.3919,0.9168,0.0,0.0,1.0,0.0,1.0,0,524,0,2887,H2,H1,cross
OR (aie),0.8125,0.433,0.8966,0.0,0.0,1.0,0.0,1.0,0,756,0,3276,H2,H3,cross
OR (aie),0.1523,0.9207,0.03173,0.2461,0.989,0.0106,0.984,0.0161,279,3,1706,28,H2,H4,cross
OR (aie),0.8895,0.3325,0.9415,0.0,0.0,1.0,0.0,1.0,0,191,0,1537,H2,H5,cross
OR (aie),0.579,0.6489,0.5625,0.5943,0.431,0.569,0.0474,0.953,1421,1878,62,1247,H2,H6,cross
OR (aie),0.8464,0.3919,0.9168,0.0,0.0,1.0,0.0,1.0,0,524,0,2887,H3,H1,cross
OR (aie),0.6602,0.5829,0.7953,0.0,0.0,1.0,0.0,1.0,0,685,0,1331,H3,H2,cross
OR (aie),0.1523,0.9207,0.03173,0.2461,0.989,0.0106,0.984,0.0161,279,3,1706,28,H3,H4,cross
OR (aie),0.8895,0.3325,0.9415,0.0,0.0,1.0,0.0,1.0,0,191,0,1537,H3,H5,cross
OR (aie),0.579,0.6489,0.5625,0.5943,0.431,0.569,0.0474,0.953,1421,1878,62,1247,H3,H6,cross
OR (aie),0.8464,0.3919,0.9168,0.0,0.0,1.0,0.0,1.0,0,524,0,2887,H4,H1,cross
OR (aie),0.6602,0.5829,0.7953,0.0,0.0,1.0,0.0,1.0,0,685,0,1331,H4,H2,cross
OR (aie),0.8125,0.433,0.8966,0.0,0.0,1.0,0.0,1.0,0,756,0,3276,H4,H3,cross
OR (aie),0.8895,0.3325,0.9415,0.0,0.0,1.0,0.0,1.0,0,191,0,1537,H4,H5,cross
OR (aie),0.579,0.6489,0.5625,0.5943,0.431,0.569,0.0474,0.953,1421,1878,62,1247,H4,H6,cross
OR (aie),0.8464,0.3919,0.9168,0.0,0.0,1.0,0.0,1.0,0,524,0,2887,H5,H1,cross
OR (aie),0.6602,0.5829,0.7953,0.0,0.0,1.0,0.0,1.0,0,685,0,1331,H5,H2,cross
OR (aie),0.8125,0.433,0.8966,0.0,0.0,1.0,0.0,1.0,0,756,0,3276,H5,H3,cross
OR (aie),0.1523,0.9207,0.03173,0.2461,0.989,0.0106,0.984,0.0161,279,3,1706,28,H5,H4,cross
OR (aie),0.579,0.6489,0.5625,0.5943,0.431,0.569,0.0474,0.953,1421,1878,62,1247,H5,H6,cross
OR (aie),0.8464,0.3919,0.9168,0.0,0.0,1.0,0.0,1.0,0,524,0,2887,H6,H1,cross
OR (aie),0.6602,0.5829,0.7953,0.0,0.0,1.0,0.0,1.0,0,685,0,1331,H6,H2,cross
OR (aie),0.8125,0.433,0.8966,0.0,0.0,1.0,0.0,1.0,0,756,0,3276,H6,H3,cross
OR (aie),0.1523,0.9207,0.03173,0.2461,0.989,0.0106,0.984,0.0161,279,3,1706,28,H6,H4,cross
OR (aie),0.8895,0.3325,0.9415,0.0,0.0,1.0,0.0,1.0,0,191,0,1537,H6,H5,cross
